,CarName,CarYear,CarModel,EngineCapacity(l),HorsePower,CarFuel,CarTransmission,CarDrive,CarOdo(KM),carPrice,carPriceMin,highPrice,goodPrice,defltPrice,removed,minPrice
134,Hyundai Starex,2005,2.5 CRDI AT 4WD Base (7 seats),2.5,145,дизель,АКПП,4WD,310,990000,,0,0,0,0,0
135,Hyundai Solaris,2016,1.4 AT Comfort,1.4,107,бензин,АКПП,передний,86,850000,,0,0,1,0,0
136,Renault Sandero Stepway,2022,1.6 CVT Life City,1.6,113,бензин,вариатор,передний,0,1635000,1535000,0,0,0,0,1
137,Renault Logan Stepway,2022,1.6 CVT Life City,1.6,113,бензин,вариатор,передний,0,1532000,1432000,0,0,0,0,1
138,Renault Arkana,2022,1.6 CVT 4x2 Drive,1.6,114,бензин,вариатор,передний,0,2080000,1980000,0,0,0,0,1
139,Toyota RAV4,2022,,2.0,171,бензин,автомат,передний,0,3290000,,0,0,0,0,0
140,Hyundai Sonata,2023,,2.0,150,бензин,АКПП,передний,0,2800000,,0,0,0,0,0
141,Haval Dargo,2022,,2.0,192,бензин,робот,4WD,0,3100000,,0,0,0,0,0
142,Haval F7x,2022,2.0 SAT 4WD Premium,2.0,190,бензин,робот,4WD,0,2700000,,0,0,0,0,0
143,Hyundai Palisade,2023,,3.5,249,бензин,АКПП,4WD,0,6990000,,0,0,0,0,0
144,BMW 5-Series,2022,,2.0,249,бензин,АКПП,4WD,0,7590000,,0,0,0,0,0
145,Toyota Land Cruiser,2022,3.4 AT 70th Anniversary,3.4,415,бензин,АКПП,4WD,0,12990000,,0,0,0,0,0
146,Kia Sorento,2023,,2.5,179,бензин,автомат,4WD,0,3850000,,0,0,0,0,0
147,Toyota Camry,2022,,2.5,209,бензин,автомат,передний,0,4090000,,0,0,0,0,0
148,Hyundai Santa Fe,2022,,2.5,180,бензин,АКПП,4WD,0,4250000,,0,0,0,0,0
149,Hyundai Tucson,2023,,2.0,150,бензин,АКПП,4WD,0,3250000,,0,0,0,0,0
150,Hyundai Tucson,2023,,2.0,150,бензин,АКПП,4WD,0,3250000,,0,0,0,0,0
151,Toyota Land Cruiser,2022,,3.4,415,бензин,АКПП,4WD,0,10500000,,0,0,0,0,0
152,Hyundai Tucson,2022,,2.5,190,бензин,АКПП,4WD,0,3450000,,0,0,0,0,0
153,Nissan Sentra,2015,,1.6,117,бензин,вариатор,передний,205,800000,,0,0,1,0,0
154,Toyota RAV4,2013,,2.0,146,бензин,вариатор,передний,184,1680000,,0,0,1,0,0
155,Toyota Corolla Spacio,2004,1.5 X G edition,1.5,109,бензин,АКПП,передний,240,635000,,0,0,1,0,0
156,Honda Avancier,1999,2.3 L,2.3,150,бензин,АКПП,передний,190,450000,,0,0,1,0,0
157,Mazda Mazda3,2011,,1.6,105,бензин,АКПП,передний,142,690000,,0,1,0,0,0
158,Hyundai Tucson,2023,,2.0,150,бензин,АКПП,4WD,0,3150000,,0,0,0,0,0
