,CarName,CarYear,CarModel,EngineCapacity(l),HorsePower,CarFuel,CarTransmission,CarDrive,CarOdo(KM),carPrice,carPriceMin,highPrice,goodPrice,defltPrice,removed,minPrice
139,Лада Приора,2014,1.6 MT Люкс 21723-33-046,1.6,98 ,бензин,механика,передний,143,539000,,1,0,0,0,0
140,Nissan Sunny,2003,1.5 Super saloon,1.5,109,бензин,АКПП,4WD,450,265000,,0,0,1,0,0
141,Renault Kadjar,2019,,1.5,130,механика,передний,140,,1600000,,0,1,0,0,0
142,Hyundai ix35,2014,2.0 AT 2WD Travel,2.0,150,бензин,АКПП,передний,58,1595000,,0,0,1,0,0
143,Honda Insight,2009,1.3 L,1.3,88 ,гибрид,вариатор,передний,280,380000,,0,0,0,0,0
144,УАЗ 3151,1991,,2.9,98 ,бензин,механика,4WD,5,270000,,1,0,0,0,0
145,Лада 4x4 2121 Нива,1991,,1.6,80 ,бензин,механика,4WD,3,230000,,1,0,0,0,0
146,Dodge Durango,1997,,5.2,230,бензин,АКПП,4WD,250,400000,,0,0,0,0,0
147,Лада Калина,2012,1.6 MT Люкс 11176-42-036,1.6,98 ,бензин,механика,передний,165,390000,,1,0,0,0,0
148,BMW X7,2019,M50d AT M Special,M50,400,дизель,АКПП,4WD,78,9200000,,0,0,1,0,0
149,Лада 4x4 2121 Нива,2001,1.7 MT,1.7,79 ,бензин,механика,4WD,197,265000,,1,0,0,0,0
150,BMW 3-Series,2005,318d MT,318,122,дизель,механика,задний,485,650000,,0,0,1,0,0
151,Лада 2114 Самара,2012,1.6 MT 21144-32-010,1.6,81 ,бензин,механика,передний,190,255000,,1,0,0,0,0
152,Лада Гранта,2017,,1.6,87 ,бензин,механика,передний,170,450000,,0,0,1,0,0
153,Volkswagen Passat,2012,,1.8,152,бензин,робот,передний,"204,голубой",870000,,0,0,1,0,0
154,Vortex Corda,2011,1.5 MT Basic,1.5,109,бензин,механика,передний,347,245000,,0,0,0,0,0
155,Daewoo Nexia,2008,,1.6,109,бензин,механика,передний,149,185000,,1,0,0,0,0
